alpha,V_tree,V_1loop,V_2loop,V_eff_1loop,V_eff_2loop
1.5,0.25,0.0271663949833972,0.00043707159838484735,0.2771663949833972,0.27760346658178203
1.5075376884422111,0.23887684019193178,0.024597077014921753,0.0004115379052967371,0.26347391720685354,0.2638854551121503
1.515075376884422,0.22811532562882295,0.02216108719584721,0.0003871876069044986,0.25027641282467017,0.25066360043157465
1.5226130653266332,0.21770786371893525,0.019854019210139875,0.0003639804493353462,0.23756188292907512,0.23792586337841046
1.5301507537688441,0.20764693934595774,0.017671546346006713,0.0003418770325878147,0.22531848569196444,0.22566036272455225
1.5376884422110553,0.19792511486900397,0.015609422187211473,0.0003208388142072679,0.21353453705621545,0.21385537587042272
1.5452261306532664,0.18853503012261447,0.013663478888059674,0.00030082808848704576,0.20219850901067415,0.2024993370991612
1.5527638190954773,0.1794694024167555,0.011829628314263192,0.00028180799482914405,0.19129903073101867,0.1915808387258478
1.5603015075376885,0.17072102653681842,0.010103860614784264,0.0002637424998890784,0.1808248871516027,0.18108862965149178
1.5678391959798994,0.16228277474362163,0.008482244273490121,0.00024659639483919646,0.17076501901711175,0.17101161541195095
1.5753768844221105,0.1541475967734083,0.006960925638871252,0.00023033528727687194,0.16110852241227955,0.16133885769955641
1.5829145728643217,0.1463085198378483,0.00553612866259381,0.00021492559534350914,0.1518446485004421,0.1520595740957856
1.5904522613065326,0.13875864862403736,0.004204153933087863,0.0002003345341733099,0.14296280255712523,0.14316313709129855
1.5979899497487438,0.1314911652944964,0.0029613793597065134,0.00018653012028183147,0.1344525446542029,0.13463907477448472
1.6055276381909547,0.12449932948717314,0.0018042586840328354,0.00017348115229416124,0.126303588171206,0.12647706932350014
1.6130653266331658,0.11777647831544036,0.000729321731938623,0.0001611572106856745,0.11850580004737898,0.11866695725806466
1.620603015075377,0.11131602636809733,-0.00026682632299778803,0.0001495286466021149,0.11104920004509954,0.11119872869170165
1.6281407035175879,0.1051114657093692,-0.001187505197638803,0.00013856657626699253,0.1039239605117304,0.1040625270879974
1.635678391959799,0.09915636587890647,-0.002035959986444417,0.0001282428725702853,0.09712040589246206,0.09724864876503234
1.64321608040201,0.09344437389178624,-0.0028153615363070176,0.00011853015797875858,0.09062901235547922,0.09074754251345798
1.650753768844221,0.08796921423851081,-0.003528806978938217,0.00010940179550919292,0.0844404072595726,0.08454980905508179
1.6582914572864322,0.08272468888500889,-0.004179320033272805,0.00010083188257039563,0.07854536885173609,0.07864620073430649
1.6658291457286432,0.07770467727263505,-0.004769851614370025,9.27952408964066e-05,0.07293482565826503,0.07302762089916144
1.6733668341708543,0.07290313631816935,-0.005303280109535259,8.526741081553573e-05,0.06759985620863408,0.06768512361944962
1.6809045226130652,0.06831410041381825,-0.0057824119276956056,7.822464196736527e-05,0.06253168848612264,0.06260991312809001
1.6884422110552764,0.06393168142721362,-0.006209981951544068,7.16438852564679e-05,0.05772169947566955,0.057793343360926015
1.6959798994974875,0.05975006870141357,-0.006588653984037448,6.550278493744844e-05,0.05316141471737612,0.05322691750231357
1.7035175879396984,0.05576352905490216,-0.006921021223212383,5.9779670323612025e-05,0.04884250783168977,0.048902287502013385
1.7110552763819096,0.051966406781588904,-0.007209606730159563,5.445354765809441e-05,0.04475680005142934,0.044811253599087435
1.7185929648241207,0.04835312365080964,-0.00745686394588286,4.950409112571727e-05,0.04089625970492678,0.0409457637960525
1.7261306532663316,0.04491817890732602,-0.007665177131560343,4.491163535263307e-05,0.03725300177576568,0.037297913411118315
1.7336683417085428,0.04165614927132532,-0.00783686191595467,4.065716589891084e-05,0.03381928735537065,0.033859944521269565
1.7412060301507537,0.038561688938421095,-0.007974165771629725,3.672231119509989e-05,0.03058752316679137,0.03062424547798647
1.7487437185929648,0.03562952957965242,-0.008079268529319226,3.308933387560252e-05,0.027550261050333195,0.027583350384208796
1.7562814070351758,0.032854480341484624,-0.008154282908580862,2.974112166479443e-05,0.02470019743290376,0.024729938554568558
1.763819095477387,0.03023142784580859,-0.008201255035905396,2.6661178725470846e-05,0.022030172809903194,0.022056833988628663
1.771356783919598,0.027755336189941325,-0.008222164978323487,2.383361703164589e-05,0.019533171211617836,0.01955700482864948
1.778894472361809,0.025421246946625734,-0.008218927296198707,2.1243146689649136e-05,0.017202319650427025,0.017223562797116676
1.7864321608040201,0.023224279164030408,-0.008193391587418383,1.8875067313737834e-05,0.015030887576612025,0.015049762643925763
1.7939698492462313,0.021159629365750023,-0.008147343052156811,1.6715258740762544e-05,0.013012286313593212,0.013029001572333974
1.8015075376884422,0.01922257155080516,-0.00808250305880695,1.4750171558366715e-05,0.011140068491998209,0.011154818663556576
1.8090452261306533,0.017408457193642094,-0.008000529728098376,1.2966817964157452e-05,0.009407927465543718,0.009420894283507876
1.8165829145728642,0.015712715244133237,-0.00790301851905864,1.1352762127138204e-05,0.007809696725074597,0.007821049487201736
1.8241206030150754,0.014130852127576676,-0.007791502826235383,9.896110620140795e-06,0.006339349301341293,0.0063492454119614345
1.8316582914572863,0.01265845174469659,-0.007667454592261679,8.585502795104903e-06,0.0049909971524349115,0.004999582655230017
1.8391959798994975,0.011291175471642868,-0.007532284925379991,7.410100959184694e-06,0.003758890546262877,0.0037663006472220617
1.8467336683417086,0.010024762159991424,-0.007387344732350339,6.3595805049317935e-06,0.0026374174276410853,0.002643777008146017
1.8542713567839195,0.008855028136744056,-0.007233925356386075,5.424119879373895e-06,0.0016211027803579815,0.0016265269002373555
1.8618090452261307,0.007777867204328352,-0.007073259239181109,4.594390526462203e-06,0.0007046079651472428,0.000709202355673705
