layer,alpha_true,c_true,alpha_est,alpha_ols,ci_lower,ci_upper,intercept,R2,n_points
0,2.0,1.0,2.0026157107711082,2.0027489766870072,1.990249570698739,2.0153907812918157,-0.0053923194580596245,0.9943897837307517,500
1,2.3,2.5,2.307074255724835,2.306954128344501,2.293012197376907,2.3206331751841573,0.3835529753987026,0.9952446607137784,500
2,2.6,0.8,2.6003851031182195,2.6004550620496487,2.5873876452167965,2.6136086316933684,-0.0979166619804186,0.9962251121071853,500
3,2.9,3.2,2.898902800194976,2.898770812109095,2.8853396208314015,2.9127585171929775,0.4968316824792618,0.9970689738736446,500
