alpha,V_tree,V_eff_mu0.5,V_eff_mu1.0,V_eff_mu2.0
1.9,1.0,0.999671567954928,0.997339696124585,0.995007824294242
1.9045226130653266,0.8541741369972189,0.8539941246547479,0.8517994217556016,0.8496047188564553
1.9090452261306532,0.7259106235192182,0.7257306111767472,0.723535908277601,0.7213412053784546
1.9135678391959798,0.613487606266638,0.613307593924167,0.6111128910250208,0.6089181881258744
1.9180904522613065,0.5153207474558918,0.5151407351134208,0.5129460322142746,0.5107513293151282
1.9226130653266331,0.42995432927747,0.42977431693499907,0.4275796140358527,0.4253849111367064
1.9271356783919598,0.3560528166774712,0.35587280433500024,0.3536781014358539,0.35148339853670757
1.9316582914572864,0.2923928602518059,0.29221284790933494,0.2900181450101886,0.28782344211104227
1.936180904522613,0.23785572156901702,0.23767570922654607,0.23548100632739974,0.23328630342825338
1.9407035175879397,0.19142010375426785,0.1912400914117969,0.18904538851265057,0.1868506856135042
1.9452261306532663,0.1521553706738636,0.15197535833139264,0.1497806554322463,0.14758595253309995
1.949748743718593,0.11921513855675193,0.11903512621428099,0.11684042331513464,0.1146457204159883
1.9542713567839196,0.0918312243769297,0.09165121203445875,0.0894565091353124,0.08726180623616607
1.9587939698492463,0.06930793579861341,0.06912792345614246,0.06693322055699612,0.06473851765784978
1.9633165829145727,0.05101668795453585,0.059178854099462795,0.04284310503782077,0.026507355976178735
1.9678391959798993,0.03639093278687299,0.2829364185659655,0.11401390014469415,-0.054908618276577205
1.972361809045226,0.024921387130215855,0.890233554922548,0.4206144554094542,-0.04900464410363957
1.9768844221105526,0.016151546156696357,1.860825824681722,0.9726437100001676,0.08446159531861347
1.9814070351758792,0.009673469235056287,3.1250432772302297,1.7346023105685624,0.34416134390689523
1.9859296482412059,0.005123825678093539,4.59063974648987,2.649279081841344,0.7079184171928173
1.9904522613065325,0.00218018826669633,6.157836934227287,3.65037657050615,1.142916206785012
1.9949748743718592,0.0005575628436424914,7.729636520821151,4.6710417599940515,1.6124469991669534
1.9994974874371858,5.1426665963491015e-06,9.218934769452286,5.649789277505041,2.0806437855577995
2.0040201005025127,0.00030327659737033186,10.553085220261101,6.534391381068761,2.5156975418764196
2.0085427135678393,0.0012606405836230372,11.676361996540244,7.284103650927728,2.8918453053152136
2.013065326633166,0.0027116022598320023,12.55072743187357,7.8705428698453685,3.19035830781717
2.017587939698492,0.004513768856696823,13.155284165179127,8.277512488502234,3.3997408118253434
2.022110552763819,0.006545708962191596,13.484764849998559,8.500050613105346,3.515336376212137
2.0266331658291454,0.008704839023377415,13.547377108845492,8.542948975392665,3.5385208419398393
2.031155778894472,0.010905465815913196,13.362278945756607,8.41895925406485,3.4756395623730936
2.0356783919597987,0.013076976438034292,12.956913669902509,8.146867676270363,3.336821682638216
2.0402010050251254,0.015162167707716974,12.36438656365545,7.74958247742492,3.1347783911943914
2.044723618090452,0.01711570715588881,11.621020589803893,7.252343621249793,2.8836666526956947
2.0492462311557786,0.018902718114977846,10.7641871568987,6.681131688358499,2.598076219818299
2.0537688442211053,0.02049748170090656,9.830471579556734,6.061324083776488,2.2921765879962477
2.058291457286432,0.021882248777921266,8.854201946546077,5.416622214342973,1.9790424821398707
2.0628140703517586,0.02304615527949437,7.866344986069905,4.768253347651743,1.67016170923358
2.067336683417085,0.023984234535037965,6.893752838202915,4.134435262343511,1.3751176864841084
2.071859296482412,0.02469652052141178,5.958730360462421,3.5300804728533897,1.1014305852443569
2.0763819095477385,0.025187236220289677,5.078882830932401,2.966709119714481,0.8545354084965591
2.080904522613065,0.025464061517455887,4.267198375160738,2.452535278568653,0.6378721819765686
2.0854271356783918,0.025537475328126905,3.532317251378953,1.9926897840315823,0.45306231668421043
2.0899497487437184,0.025420166873529135,2.878940689607842,1.5895432009880868,0.3001457123683317
2.094472361809045,0.025126511268294512,2.3083347409689683,1.243094843137092,0.1778549453052154
2.0989949748743717,0.02467210480586127,1.8188887946874424,0.9513971527515694,0.0839055108156966
2.1035175879396983,0.02407335555007179,1.4066937147068759,0.7109890051037424,0.015284295500609568
2.108040201005025,0.023347125055638136,1.066110370346039,0.5173161484761168,-0.0314780733938055
2.1125628140703516,0.02251041724818801,0.7903053217046158,0.365121742732272,-0.060061836240071755
2.1170854271356783,0.021580110696300434,0.5717363335738755,0.24879461080550824,-0.074147111962859
2.121608040201005,0.020572730703383318,0.40257588714895365,0.1626671170629316,-0.07724165302309043
2.1261306532663315,0.019504257836524548,0.2750658508212642,0.10125845063148928,-0.07254894955828564
2.130653266331658,0.01838996969265558,0.18180080183983294,0.059462406877707194,-0.06287598808441858
2.135175879396985,0.01724431287959259,0.11594110991704423,0.03268148702095546,-0.05057813587513332
2.1396984924623115,0.016080802360856686,0.07135975889862518,0.01691124993374591,-0.03753725903113336
2.144221105527638,0.014911945478711445,0.04272902052212367,0.00878036784596194,-0.025168284830199793
2.1487437185929648,0.013749188129685208,0.025554484012866592,0.005552750397437392,-0.014448983217991805
2.1532663316582914,0.012602880721057606,0.016164567677991935,0.005098371230424192,-0.005967825217143553
2.157788944723618,0.011482261685475692,0.011663184671794948,0.005838745847456292,1.4307023117636139e-05
2.1623115577889447,0.010395456474116162,0.009850023410855155,0.006669670986938996,0.0034893185630228375
2.1668341708542713,0.00934949008671718,0.009092471140124722,0.006843369659231797,0.004594268178338871
2.171356783919598,0.008350311329457637,0.008170298986986686,0.005975596087840346,0.0037808931886940053
2.1758793969849246,0.007402827119153667,0.007222814776682715,0.005028111877536375,0.0028334089783900347
